year,title,place,city,associates,category
2018,,Galerie La Ligne,Zurich Suisse,,Expositions personelles
2016,,Galerie Nery Mariño,Paris France,,Expositions personelles
2015,,Galerie Nery Mariño,Paris France,,Expositions personelles
2015,,Galerie Edition Hoffmann,Friedberg Allemagne,,Expositions personelles
2014,,Galerie Un lieu une œuvre,Menerbes France,,Expositions personelles
2014,,Galerie Nery Mariño,Paris France,,Expositions personelles
2012,,Institut Français,Barcelone Espagne,,Expositions personelles
2010,Algorithms,From Point to Point,Nîmes France,,Expositions personelles
2012,,Kawenga,Montpellier France,,Expositions personelles
2005,,Galerie Philippe Pannetier,Nîmes France,,Expositions personelles
2003,Monumental sculptures,,Quebec Canada,,Expositions personelles
2002,,Galerie Park'Art ,Marseille France,,Expositions personelles
2002,,Galerie Philippe Pannetier,Nîmes France,Didier Demozay Marc Le Bris,Expositions collectives
1997,,Galerie Le Mercier,Quebec Canada,,Expositions personelles
1982,Animotion,Television & Radio,France Canada,,Expositions personelles
1978,,Galerie Gilles Gheerbrant,Montréal Canada,,
1976,,galerie Seven,Détroit Etats-Unis,,Expositions personelles
1975,Color In Motion,contemporary Art Museum,Montréal Canada,,Expositions personelles
1973,,galerie M,Bochum Alemagne,,Expositions personelles
1973,,galerie Ernst,Hanovre Alemagne,,Expositions personelles
1973,,Atelier Glasmeur,Gelsenkirchen Alemagne,,Expositions personelles
1973,,Städtisches Kunstsamlungen,Ludwigshafen Alemagne,,Expositions personelles
1973,,Galerie La Polena,Gênes Suisse,,Expositions personelles
1973,,Centre Culturel Canadien,Paris France,,Expositions personelles
1973,,Centre Culturel Gérard Philippe,Champigny-sur-Marne France,,Expositions personelles
1973,Realisation of Computer Works,Centre Canadien Météorologique,,,Expositions personelles
1972,,galerie Sincron,Brescia Italie,Pierre Keller,Expositions collectives
1972,,galerie Teufeul,Cologne Allemagne,,Expositions personelles
1972,,The Electric Gallery,Toronto Canada,,Expositions personelles
1971,,Gallery Wells,Ottawa Canada,,Expositions personelles
1971,First computer works,,,,Expositions personelles
1970,Happening sur la communication,National Film Board,Montréal Canada,,Expositions personelles
1970,,The Electric Gallery,Toronto Canada,,Expositions personelles
1968,,Galerie du Siècle,Montréal Canada,,Expositions personelles
1965,,Galerie Libre,Montréal Canada,,Expositions personelles
1968,First Neon sculptur,,,,Expositions personelles
2019,,Kunstraum Stoffen,Allemagne,,Expositions collectives
2018,Computer Grafik 1984,DAM Gallery,Berlin Allemagne,,Expositions collectives
2018,,SAXON Art Gallery,Budapest Hongrie,,Expositions collectives
2018,,Galerie Réalités nouvelles,Paris France,,Expositions collectives
2018,Art Paris,"Galerie LA Ligne, Grand Palais",Paris France,,Expositions collectives
2018,Comparaisons,Grand Palais,Paris France,,Expositions collectives
2018,Action - Reaction,Kunsthaus,Rotterdam Pays Bas,,Expositions collectives
2017,Comparaisons,Grand Palais,Paris France,,Expositions collectives
