author,title,year,month
"Popper, Frank","""Kinetic Art"", Studio Vista, London",1968,
"Pienne, A.R. Nov. 1968","""Structure and Light"", Artscanada, Toronto",1968,Novembre
"Allen, B.","""Mechanics Illustrated"" Industrial Design, New York",1969,janvier
,"""Some more Beginnings"" The Brooklyn Museum, New York",1969,
"Hénault, Gilles","""La lumiere dans l'Art"", Forces, printemps",1969,
"Crosby, T., Benthall, J., Popper, F., Wise, G."," ""Kinetics"", Hayward Gallery, Londres",1970,
"Corbeil, D.","""12 Montreal Artists"", Artscanada Toronto",1970,Fevrier
"Townsend, W.","""Canadian Artist"", Studio International Publications, London",1970,
"Russel, D.","""London Exhibitions"", Artsmagazine, New York",1970,Novembre
"Benthall, J.","""Technology and Art"", Studio International, London",1970,Novembre
"Reichardt, J."," ""Kinetics"", Architectural Design, London",1971,Janvier
"Carter, B."," ""Conversations with 4 Artists"", Artscanada, Toronto",1971,Fevrier
"Parent, A."," ""Le Paradigme Magique de Roger Vilder"", Vie des Arts, Montréal",1971,Automne
"Gheerbrant, G."," ""Art et Ordinateur au Quebec"", Opus International, Paris",1972,Mai
"Fath, M."," ""Roger Vilder"", Städtishes Kunstsammlungen, Ludwigshafen",1973,
"Restany, Pierre","""Roger Vilder"", Centre Culturel Canadien, Paris",1973,
,"""Program, Zufall, System"", Städtisches Museum, Mönchengladbach",1973,
"Trini, Tomasso","""Vilder"", Galleria La Polena, Gênes",1973,
"Stachelhaus, H."," ""Rhein- Rhur"", Kunst Magazine, Mayence",1973,
"Kerber, B.","""Szene Rhein-Ruhr"", Art International, Lugano",1973,Mai
"Touraine, L."," ""Art 4 '73"", Opus International, Paris",1973,Septembre
"Ragon, Michel, Seuphor, M."," ""L'Art Abstrait"",tome IV, Maeght Editeur, Paris",1974,
"Restany, Pierre","""Le Plastique dans l'Art"", André Sautet Ed., Paris",1974,
"Philipot, C."," ""Feedback"", Studio International, London",1974,Juillet
"Masheck, J.","""Hard Core Painting"", Artforum, New York",1978,Avril
,Interview Kawenga par Alexandre Simonet,2011,
Felip Vivanco, La Vanguardia,2012,Decembre
Fabien Deglise," « Le pape de l'Art Cinetique », le Devoir",2013,Mars
Roger Vilder,Catalogue ROGER VILDER,2014,
Stephane Cerri,MidiLibre,2016,Janvier
Claude Guibert ,«Chronicles of the black hat» The art in sharing,2016,
