year,title,place,city,associates,category
2020,,Galerie Zavodny ,"Mikulov, République Tchèque ",,Expositions personelles
2020,,La Patinoire Royale Galerie Valérie Bach ,"Bruxelles, Belgique ",,Expositions personelles
2019,,Institut français de Slovaquie ,"Bratislava, Slovaquie ",,Expositions personelles
2018,,Galerie La Ligne,"Zurich, Suisse",,Expositions personelles
2016,,Galerie Nery Mariño,"Paris, France ",,Expositions personelles
2015,,Galerie La Salamandre ,"Nîmes, France ",,Expositions personelles
2015,,Galerie Nery Mariño,"Paris, France ",,Expositions personelles
2015,,Galerie Edition Hoffmann,"Friedberg, Allemagne",,Expositions personelles
2014,,Galerie Un lieu une œuvre,"Menerbes, France",,Expositions personelles
2014,,Galerie Nery Mariño,"Paris, France ",,Expositions personelles
2012,,Institut Français,"Barcelone, Espagne",,Expositions personelles
2011,"Territoires numériques, programme septembre à décembre 2011 ",Kawenga,"Montpellier, France",,Expositions personelles
2010,Algorithms,Galerie From Point to Point ,"Nîmes, France",,Expositions personelles
2005,,Galerie Philippe Pannetier,Nîmes France,,Expositions personelles
2003,Coppenrath set Associés Monumental sculptures ,"Ways Mills, Qc, Canada ",Canada,,Expositions personelles
2002,,Galerie Park'Art ,"Marseille, France",,Expositions personelles
2002,,Galerie Philippe Pannetier,"Nîmes, France",Didier Demozay Marc Le Bris,Expositions personelles
1997,,Galerie Le Mercier,"Quebec, Canada",,Expositions personelles
1993,,Galeria Del Leon ,"Guadalajara, Mexique ",,Expositions personelles
1982,Animotion,Television & Radio,"France, Canada",,Expositions personelles
1978,,Galerie Gilles Gheerbrant,"Montréal, Canada",,Expositions personelles
1976,,Galerie Seven,"Détroit, Etats-Unis",,Expositions personelles
1975,Color In Motion,Musée d’art contemporain ,"Montréal, Canada",,Expositions personelles
1973,,Galerie M,"Bochum, Alemagne",,Expositions personelles
1973,,Galerie Ernst ,"Hanovre, Alemagne ",,Expositions personelles
1973,,Atelier Glasmeir ,"Gelsenkirchen, Alemagne ",,Expositions personelles
1973,,Städtisches Kunstsammlungen ,"Ludwigshafen-am-Rhein, Allemagne ",,Expositions personelles
1973,,Galleria La Polena ,"Gênes, Suisse",,Expositions personelles
1973,,Centre Culturel Canadien,"Paris, France ",,Expositions personelles
1973,,Centre Culturel Gérard Philippe,"Champigny-sur-Marne, France",,Expositions personelles
1973,Realisation of Computer Works,Centre Canadien Météorologique,,,Expositions personelles
1972,,Galleria Sincron ,"Brescia, Italie ",Pierre Keller,Expositions personelles
1972,,Galerie Teufel ,"Cologne, Allemagne ",,Expositions personelles
1972,,The Electric Gallery,"Toronto, Canada",,Expositions personelles
1971,,Gallery Wells,"Ottawa, Canada",,Expositions personelles
1971,First computer works,,,,Expositions personelles
1970,Happening sur la communication,National Film Board,"Montréal, Canada",,Expositions personelles
1970,,The Electric Gallery,"Toronto, Canada",,Expositions personelles
1968,,Galerie du Siècle,"Montréal, Canada",,Expositions personelles
1968,First Neon sculptur,,,,Expositions personelles
1965,,Galerie Libre ,"Montréal, Canada",,Expositions personelles
2020,Canadian computer Art 1967-1974 ,McIntosh Gallery ,"Ontario, Canada ",,Expositions collectives
