name,description,dimensions,year,image,video_key,display_option,collection
Dessin,,,,pieces/dessins/3.jpg,,Image,Drawing
Dessin,,,,pieces/dessins/B.jpg,,Image,Drawing
Dessin,,,,pieces/dessins/D.jpg,,Image,Drawing
Dessin,,,1973,pieces/dessins/Dessin1973.jpg,,Image,Drawing
Dessin,,,1976,pieces/dessins/Dessin1976.jpg,,Image,Drawing
Dessin,,,1971,pieces/dessins/Dessin1971.jpg,,Image,Drawing
Dessin,,,1972,pieces/dessins/Dessincollage1972.jpg,,Image,Drawing
Dessin,,,1974,pieces/dessins/Dessins-1974.jpg,,Image,Drawing
Dessin Ordinateur,,,1973,pieces/dessins/DessinOrdinateur.jpg,,Image,Drawing
Dessin,,,,pieces/dessins/E.jpg,,Image,Drawing
Dessin,,,,pieces/dessins/F.jpg,,Image,Drawing
Gravure sur Verre,,,2005,pieces/dessins/gravureVerre.jpg,,Image,Drawing
Signes,,,1976,pieces/dessins/Signes.jpg,,Image,Drawing
Dessin,,,,pieces/dessins/Relief.jpg,,Image,Drawing
Signes Gouache,,,2005,pieces/dessins/SignesGouache.jpg,,Image,Drawing
Expansion,"Collection du Musee d'Art Contemporain de Montreal, Canada",,1969,pieces/sculptures/expansion.jpg,,Image,Sculptur
Jello,,135 x 75 x 75 cm,1970,pieces/sculptures/Jello.jpg,,Image,Sculptur
Piece Murale,,205 x 85 x 7 cm,1976,pieces/sculptures/PieceMurale.jpg,,Image,Sculptur
Relief Mural,,170 x 120 x 7 cm,1976,pieces/sculptures/ReliefMural.jpg,,Image,Sculptur
20 pieces Murales,"Collection du Musee d'Art Contemporain de Montreal, Canada",150 x 200 x 7 cm,1976,pieces/sculptures/20piecesMural.jpg,,Image,Sculptur
Cube de Boy Acier,,190 x 190 x 190 cm,2006,pieces/sculptures/CubeAcier.jpg,,Image,Sculptur
Installation 7 pieces aluminium,,10 x 15 x 155 cm,1978,pieces/sculptures/Installation7.jpg,,Image,Sculptur
Installation 16 pieces aluminium,,125 x 125 x 10 cm,1978,pieces/sculptures/installation16.jpg,,Image,Sculptur
Equivalence 64 pouces cubes,,59 x 41 x 41,1998,pieces/sculptures/equivalence.jpg,,Image,Sculptur
Sculpture monumentale Acier,,350 x 220 x 70 cm,2003,pieces/sculptures/sculptureMonumentale2.jpg,,Image,Sculptur
Sculpture monumentale Aluminium,,225 x 225 x 300 cm,2003,pieces/sculptures/sculptureMonumentale.jpg,,Image,Sculptur
Michele neons,Collection de l'artiste,220 x 145 x 145,1969,pieces/neons/michele.jpg,,Image,Sculptur
Lumiere bleue,Collection de l'artiste,200 x 115 x 1500 cm,1970,pieces/neons/LumiereBleue.jpg,,Image,Sculptur
11 Neons,Collection de l'artiste,195 x 1500 x 105 cm,1970,pieces/neons/11neons.jpg,,Image,Sculptur
2 lignes de neons blanc,Collection de l'artiste,200 x 200 x 45 cm,1975,pieces/neons/2LignesNeonBlanc.jpg,,Image,Sculptur
Cube de Boy rouge,Collection de l'artiste,,,pieces/neons/BC-2-100.jpg,,Image,Sculptur
Cube de Boy jaune vert bleu,Collection de l'artiste,,,pieces/neons/BC-3-100.jpg,,Image,Sculptur
Cube de Boy blanc,Collection de l'artiste - photo de Jp Loubat,195 x 92 x 92 cm,2006,pieces/neons/BoysCube.jpg,,Image,Sculptur
VBC,Collection de l'artiste,,,pieces/neons/VB-2-100.jpg,,Image,Sculptur
Variation Albers 1,,,,pieces/neons/VariationAlbers1.jpg,,Image,Sculptur
Variation Albers 2,,,,pieces/neons/VariationAlbers2.jpg,,Image,Sculptur
Variation Albers 3,,,,pieces/neons/VariationAlbers3.jpg,,Image,Sculptur
Variation Albers 4,,,,pieces/neons/VariationAlbers4.jpg,,Image,Sculptur
Variation bleue 1,,,,pieces/neons/5.jpg,,Image,Sculptur
Variation bleue 2,,,,pieces/neons/6.jpg,,Image,Sculptur
Variation bleue 3,,,,pieces/neons/7.jpg,,Image,Sculptur
Variation bleue 4,,,,pieces/neons/8.jpg,,Image,Sculptur
Ciel cotonneux - Perou,,,2005,pieces/photos/ciel-et-mer/ciel-cotoneux-2005--Perou.jpg,,Image,Photo
Ciel,,,,pieces/photos/ciel-et-mer/DSC_0398--copy.jpg,,Image,Photo
Mer - Ile de Paques,,,2005,pieces/photos/ciel-et-mer/Mer-2005--Ile-de-Paques.jpg,,Image,Photo
Reflet,,,,pieces/photos/ciel-et-mer/Reflet.jpg,,Image,Photo
Rides - Chili,,,2005,pieces/photos/ciel-et-mer/Rides-2005--Chili.jpg,,Image,Photo
Vagues - Chili,,,2005,pieces/photos/ciel-et-mer/vagues--2005--Chili.jpg,,Image,Photo
Arbre - Ile de Paques,,,2005,pieces/photos/structure-et-forme/arbre-Ile-de-Paques-2005.jpg,,Image,Photo
